TITLE,AUTHORS,PUBLISHER,PUBLISHED DATE,PREVIEW LINK,DESCRIPTION
The Harbinger,Jonathan Cahn,Charisma Media,2011,http://books.google.co.in/books?id=nt2gYevSZrMC&printsec=frontcover&dq=subject:thriller&hl=&cd=1&source=gbs_api,"An anonymous man has received nine seals from The Prophet, with each seal containing mysterious sayings and prophecies from the Book of Isaiah about America's recent past and possible future destruction."
The Da Vinci Code,Dan Brown,N/A,2004,http://books.google.co.in/books?id=3Vi2uQAACAAJ&dq=subject:thriller&hl=&cd=2&source=gbs_api,"A murder in the silent, late night halls of the Louvre reveals a sinister plot to uncover a secret that has been protected by a clandestine society since the days of Christ. The victim is a highÂ­ranking agent of this ancient society who, in the moments before his death, manages to leave gruesome clues at the scene that only his cryptographer daughter and her symbologist friend can untangle. The duo become both suspects and detectives searching not only for the murderer, but also the stunning secret he was charged to protect."
Brother Odd,Dean Koontz,Bantam,2007-10-30,http://books.google.co.in/books?id=naghRvxjrfIC&dq=subject:thriller&hl=&cd=3&source=gbs_api,"Leaving the small desert town where he has spent his life, Odd Thomas, a hero who lives between the living and the dead, seeks the solitude of an isolated monastery, but he soon finds himself confronting a killer stalking his sanctuary's halls. -- Novelist."
The Da Vinci Code,Dan Brown,N/A,2003,http://books.google.co.in/books?id=g40bVuX9wmYC&dq=subject:thriller&hl=&cd=4&source=gbs_api,"Robert Langdon, Harvard Professor of symbology, receives an urgent late-night call while in Paris: the curator of the Louvre has been murdered. Alongside the body is a series of baffling ciphers. Langdon and a gifted French cryptologist, Sophie Neveu, are stunned to find a trail that leads to the to the works of Da Vinci - and further. The curator, part of a secret society named the Priory of Sion, may have sacrificed his life to keep secret the location of a vastly important religious relic hidden for centuries. It appears that the clandestine Vatican-sanctioned Catholic sect Opus Dei has now made its move. Unless Landon and Neveu can decipher the labyrinthine code and quickly assemble the pieces of the puzzle, the Priory's secret - and a stunning historical truth - will be lost forever."
Full Tilt,Neal Shusterman,Simon and Schuster,2004-09,http://books.google.co.in/books?id=CQxnCgAAQBAJ&printsec=frontcover&dq=subject:thriller&hl=&cd=5&source=gbs_api,"From the author of ""Downsiders"" comes the story of two boys thrust into the world of a bizarre phantom carnival--and their souls are the price of admission. ""A surreal, scary fantasy.""--""Booklist."""
The Eleventh Commandment,Jeffrey Archer,N/A,1998,http://books.google.co.in/books?id=yRSoAAAAIAAJ&dq=subject:thriller&hl=&cd=6&source=gbs_api,"ELEVENTH COMMANDMENT Jeffrey Archer Connor Fitzgerald has an impressive resume. Military hero. Devoted family man. Servant of his country--as an assassin. Just as he's about to put his twenty-eight-year career at the CIA behind him, he comes up against the most dangerous enemy he's ever faced: His own boss, Helen Dexter."""" As Director of the CIA, Dexter has always been the one to hold the strings. But when her status is threatened by a greater power, her only hope for survival is to destroy Fitzgerald. Meanwhile, the country braces itself as tensions with a new Russian leader reach the boiling point...and it's up to Fitzgerald to pull off his most daring mission yet: To save the world. Even if that means risking everything--including his own life--in the process."
He Will Be My Ruin,K.A. Tucker,Simon and Schuster,2016-02-02,http://books.google.co.in/books?id=LlV2CwAAQBAJ&printsec=frontcover&dq=subject:thriller&hl=&cd=7&source=gbs_api,"K.A. Tucker makes her suspense debut with this sexy, heart pounding story of a young woman determined to find justice after her best friend's death."
Casino Royale,"Ian FLEMING, David (read by) RINTOUL",N/A,1988,http://books.google.co.in/books?id=Vt8unQEACAAJ&dq=subject:thriller&hl=&cd=8&source=gbs_api,No description available.
The St. Zita Society,Ruth Rendell,Simon and Schuster,2012-08-14,http://books.google.co.in/books?id=L83TtpJ57-wC&printsec=frontcover&dq=subject:thriller&hl=&cd=9&source=gbs_api,From three-time Edgar Award-winning mystery writer Ruth Rendell comes a captivating and expertly plotted tale of residents and servants on one block of a posh London street--and the deadly ways their lives intertwine.
The Testament,John Grisham,Doubleday,1999-02-02,http://books.google.co.in/books?id=Nq5aAAAAMAAJ&dq=subject:thriller&hl=&cd=10&source=gbs_api,"A suicidal billionaire, a burnt-out Washington litigator, and a woman who has forsaken technology to work in the wilds of Brazil are all brought together by an astounding mystery of the testament."
